ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
2306151763105743,103907495935157,"צו חירום",2023-10-24,2023-10-24,2023-10-26,"צו חירום","מכון זולת קורא לראש הממשלה נתניהו לפעול לשחרור החטופים ואיתור הנעדרים עכשיו! הצטרפו לקריאה >>  https://zulat.org.il/now

בזמן כתיבת שורות אלו נמצאים מעל ל-200 ישראלים וישראליות בשבי חמאס ברצועת עזה ומאות נעדרים. 

החטופות נורית קופר (80) ויוכבד ליפשיץ (85)  הוחזרו וכן האזרחיות בעלות האזרחות הכפולה, יהודית רענן ובתה נטלי.  חייבים להפעיל לחץ על ראש הממשלה, וכמה שיותר, כדי שיפעל באופן מיידי לשחרור שאר החטופות והחטופים ולאיתור הנעדרות והנעדרים.

אנו קוראות וקוראים לראש ממשלת ישראל, בנימין נתניהו, לפעול מיידית להחזרתם. 
אנו דואגים לשלומם של כ-200 בני אדם, תינוקות, קשישים, נשים וגברים , התנאים בהם הם מוחזקים, מיקומם ומצבם הבריאותי. 

חלק ממעשי החטיפה ומהחטופים תועדו ונוצלו על ידי חמאס באופן מעורר חלחלה על מנת לזרוע אימה ופחד במשפחותיהם ובחברה הישראלית כולה. חלק מהתיעוד מעלה חשש כבד להתעללות ועינויים.

ההפצצות הכבדות על רצועת עזה והפגיעה באספקת החשמל והמים לרצועה, פוגעות גם באוכלוסייה אזרחית לא מעורבת ומעלות חשש שהחטופים הישראלים יפגעו.

בעוד שחמאס הוא הפושע ומחובתו לשחרר את החטופים, לישראל האחריות והחובה לשמור על חיי אזרחיה ולהגן עליהם, ואסור ששיקולים אחרים יאפילו על זכותם הבסיסית של מי שנחטפו מישראל לחיים ולביטחון. הצהרות שונות שהושמעו מטעם גורמים רשמיים מעלות חשש כבד כי הממשלה אינה ממקמת בראש סדר העדיפויות שלה את הצורך הבוער לשחרר את החטופים מיד ולפעול לקידום עסקה. אבל ראינו כשיש רצון יש גם דרך - והנשים ששוחררו הן עדות חיה לכך.

הצטרפו אלינו לקריאה לשחרור החטופים ואיתור הנעדרים! >> https://zulat.org.il/now","לפעול לשחרור החטופים עכשיו! | הצטרפו",zulat.org.il,"החמאס ביצע טבח בצעירים במסיבה, במשפחות בבתיהן, חטף נשים, קשישים וילדים. זה לא רק פשע מלחמה, של למעלה מ-1300 הרוגים, כ-200 חטופים ומעל ל-3000 פצועים, אלא התנהגות ברברית ולא אנו...","lower_bound: 30000, upper_bound: 34999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""45-54"",""gender"":""male"",""percentage"":0.035853},{""age"":""25-34"",""gender"":""female"",""percentage"":0.121242},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001422},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002894},{""age"":""18-24"",""gender"":""male"",""percentage"":0.030409},{""age"":""65+"",""gender"":""male"",""percentage"":0.087989},{""age"":""25-34"",""gender"":""male"",""percentage"":0.043504},{""age"":""45-54"",""gender"":""female"",""percentage"":0.097504},{""age"":""35-44"",""gender"":""female"",""percentage"":0.059002},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006817},{""age"":""65+"",""gender"":""female"",""percentage"":0.233606},{""age"":""55-64"",""gender"":""female"",""percentage"":0.123449},{""age"":""18-24"",""gender"":""female"",""percentage"":0.081367},{""age"":""55-64"",""gender"":""male"",""percentage"":0.043651},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.005003},{""age"":""35-44"",""gender"":""male"",""percentage"":0.022512},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000736},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003041}","{""region"":""Southern District"",""percentage"":0.075038},{""region"":""Central District"",""percentage"":0.306475},{""region"":""Northern District"",""percentage"":0.100279},{""region"":""Heifa"",""percentage"":0.124246},{""region"":""Tel Aviv"",""percentage"":0.336666},{""region"":""Jerusalem"",""percentage"":0.057246},{""region"":""West Bank"",""percentage"":4.9e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",he
1038274877184523,103907495935157,"צו חירום",2023-10-20,2023-10-20,2023-10-25,"צו חירום","מכון זולת קורא לראש הממשלה נתניהו לפעול לשחרור החטופים עכשיו! הצטרפו לקריאה >>  https://zulat.org.il/now

בזמן כתיבת שורות אלו נמצאים מעל ל-200 ישראלים וישראליות בשבי חמאס ברצועת עזה. אנו קוראות וקוראים לראש ממשלת ישראל, בנימין נתניהו, לפעול מיידית להחזרתם. 

אנו דואגים לשלומם של כ-200 בני אדם, תינוקות, קשישים, נשים וגברים , התנאים בהם הם מוחזקים, מיקומם ומצבם הבריאותי. 

חלק ממעשי החטיפה ומהחטופים תועדו ונוצלו על ידי חמאס באופן מעורר חלחלה על מנת לזרוע אימה ופחד במשפחותיהם ובחברה הישראלית כולה. חלק מהתיעוד מעלה חשש כבד להתעללות ועינויים.

ההפצצות הכבדות על רצועת עזה והפגיעה באספקת החשמל והמים לרצועה, פוגעות גם באוכלוסייה אזרחית לא מעורבת ומעלות חשש שהחטופים הישראלים יפגעו.

בעוד שחמאס הוא הפושע ומחובתו לשחרר את החטופים, לישראל האחריות והחובה לשמור על חיי אזרחיה ולהגן עליהם, ואסור ששיקולים אחרים יאפילו על זכותם הבסיסית של מי שנחטפו מישראל לחיים ולביטחון. הצהרות שונות שהושמעו מטעם גורמים רשמיים מעלות חשש כבד כי הממשלה אינה ממקמת בראש סדר העדיפויות שלה את הצורך הבוער לשחרר את החטופים מיד ולפעול לקידום עסקה.

הצטרפו אלינו לקריאה לשחרור החטופים! >> https://zulat.org.il/now","לפעול לשחרור החטופים עכשיו! | הצטרפו",zulat.org.il,"חיתמו על העצומה והצטרפו לקריאה של מכון זולת לשחרור החטופות והחטופים עכשיו! מה נעשה עם הפרטים שלך?","lower_bound: 80000, upper_bound: 89999","lower_bound: 700, upper_bound: 799",ILS,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000988},{""age"":""65+"",""gender"":""female"",""percentage"":0.25251},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002858},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008039},{""age"":""35-44"",""gender"":""male"",""percentage"":0.025959},{""age"":""55-64"",""gender"":""female"",""percentage"":0.141144},{""age"":""18-24"",""gender"":""female"",""percentage"":0.052692},{""age"":""25-34"",""gender"":""male"",""percentage"":0.030953},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003846},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00454},{""age"":""55-64"",""gender"":""male"",""percentage"":0.054989},{""age"":""45-54"",""gender"":""female"",""percentage"":0.113182},{""age"":""65+"",""gender"":""male"",""percentage"":0.093072},{""age"":""25-34"",""gender"":""female"",""percentage"":0.088612},{""age"":""45-54"",""gender"":""male"",""percentage"":0.044119},{""age"":""35-44"",""gender"":""female"",""percentage"":0.062547},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019603},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000347}","{""region"":""Southern District"",""percentage"":0.075363},{""region"":""Central District"",""percentage"":0.32392},{""region"":""Northern District"",""percentage"":0.100229},{""region"":""Heifa"",""percentage"":0.129816},{""region"":""Tel Aviv"",""percentage"":0.311631},{""region"":""Jerusalem"",""percentage"":0.059014},{""region"":""West Bank"",""percentage"":2.6e-5}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",
378457491202691,103907495935157,"צו חירום",2023-10-12,2023-10-12,2023-10-14,"צו חירום","נתניהו אשם ב-#מחדל23.
אין מילים לתאר את גודל הזוועה. 

@[115028251920872:274:זהבה גלאון Zehava Galon], נשיאת מכון @[100067202003322:2048:זוּלת - לשוויון וזכויות אדם]:

החמאס ביצע טבח בצעירים במסיבה, במשפחות בבתיהן, חטף נשים, קשישים וילדים. זה לא רק פשע מלחמה, של למעלה מ-1300 הרוגים, כ-200 חטופים ומעל ל-3000 פצועים, אלא התנהגות ברברית ולא אנושית שאין לה שום צידוק ולגיטימציה. אני יודעת שכל אחד ואחת מאיתנו מכיר מישהו שנהרג, נפצע או נחטף, או קשור בעקיפין לנפגעים דרך קרובי משפחה ומכרים. הלב נשבר.

בחשיכה האיומה שאופפת אותנו מתגלים סיפורי גבורה מתוך התופת של אזרחים ואנשי כוחות הביטחון, סולידריות של החברה הערבית והתייצבות מדהימה של אנשי המחאה והחברה האזרחית. עכשיו זה הזמן לתמוך האחד בשנייה.

האמירה של שר האוצר סמוטריץ', שמציע להילחם בעזה כאילו אין שם חטופים, מקוממת כל-כך. הוא גילה יותר אמפתיה לפוגרומיסטים בחווארה, מאשר לילדים קטנים, קשישים, גברים, נשים – כל אלה הם כלום ושום דבר עבורו. סמוטריץ' וחברי הממשלה חייבים לזכור, שגם במצב מלחמה צריך להימנע מפגיעה באוכלוסייה אזרחית לא מעורבת.

יום שני הקרוב, היום שבו ייפתח מושב החורף של הכנסת, יהיה גם יומה האחרון של נשיאת בית המשפט העליון, השופטת אסתר חיות, בתפקידה. מינוי המחליף שלה לא נראה באופק. ראש הממשלה, נתניהו, בזבז שנה שלמה על קידום מהפכה משטרית שנועדה להחליש את עצמאות מערכת המשפט ולחלץ אותו מהכלא, והתעלם באופן נפשע מכל אזהרות ראשי מערכת הביטחון בעבר ובהווה. בתום המלחמה, כשהביטחון יחזור לאזרחי ישראל, ממשלת החירום שהוקמה תצטרך להתפרק. מהכישלון הזה נתניהו וחברי ממשלתו לא יוכלו לברוח. מגיעה לנו ממשלה שמתייחסת ברצינות למדינה הזאת, לאזרחיה, כדי שתהיה לנו תקומה.",,,,"lower_bound: 50000, upper_bound: 59999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003072},{""age"":""65+"",""gender"":""male"",""percentage"":0.157077},{""age"":""55-64"",""gender"":""male"",""percentage"":0.110186},{""age"":""55-64"",""gender"":""female"",""percentage"":0.137658},{""age"":""65+"",""gender"":""female"",""percentage"":0.269828},{""age"":""45-54"",""gender"":""female"",""percentage"":0.116152},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091603},{""age"":""35-44"",""gender"":""male"",""percentage"":0.05047},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.004027},{""age"":""35-44"",""gender"":""female"",""percentage"":0.049605},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.004802},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005518}","{""region"":""Southern District"",""percentage"":0.146587},{""region"":""Central District"",""percentage"":0.312607},{""region"":""Northern District"",""percentage"":0.172518},{""region"":""Heifa"",""percentage"":0.119995},{""region"":""Tel Aviv"",""percentage"":0.161748},{""region"":""Jerusalem"",""percentage"":0.086545}",facebook,"lower_bound: 100001, upper_bound: 500000",he
7009241555804992,103907495935157,"צו חירום",2023-10-12,2023-10-12,2023-10-14,"צו חירום","נתניהו אשם ב-#מחדל23.
אין מילים לתאר את גודל הזוועה. 

@[115028251920872:274:זהבה גלאון Zehava Galon], נשיאת מכון @[100067202003322:2048:זוּלת - לשוויון וזכויות אדם]:

החמאס ביצע טבח בצעירים במסיבה, במשפחות בבתיהן, חטף נשים, קשישים וילדים. זה לא רק פשע מלחמה, של למעלה מ-1300 הרוגים, כ-200 חטופים ומעל ל-3000 פצועים, אלא התנהגות ברברית ולא אנושית שאין לה שום צידוק ולגיטימציה. אני יודעת שכל אחד ואחת מאיתנו מכיר מישהו שנהרג, נפצע או נחטף, או קשור בעקיפין לנפגעים דרך קרובי משפחה ומכרים. הלב נשבר.

בחשיכה האיומה שאופפת אותנו מתגלים סיפורי גבורה מתוך התופת של אזרחים ואנשי כוחות הביטחון, סולידריות של החברה הערבית והתייצבות מדהימה של אנשי המחאה והחברה האזרחית. עכשיו זה הזמן לתמוך האחד בשנייה.

האמירה של שר האוצר סמוטריץ', שמציע להילחם בעזה כאילו אין שם חטופים, מקוממת כל-כך. הוא גילה יותר אמפתיה לפוגרומיסטים בחווארה, מאשר לילדים קטנים, קשישים, גברים, נשים – כל אלה הם כלום ושום דבר עבורו. סמוטריץ' וחברי הממשלה חייבים לזכור, שגם במצב מלחמה צריך להימנע מפגיעה באוכלוסייה אזרחית לא מעורבת.

יום שני הקרוב, היום שבו ייפתח מושב החורף של הכנסת, יהיה גם יומה האחרון של נשיאת בית המשפט העליון, השופטת אסתר חיות, בתפקידה. מינוי המחליף שלה לא נראה באופק. ראש הממשלה, נתניהו, בזבז שנה שלמה על קידום מהפכה משטרית שנועדה להחליש את עצמאות מערכת המשפט ולחלץ אותו מהכלא, והתעלם באופן נפשע מכל אזהרות ראשי מערכת הביטחון בעבר ובהווה. בתום המלחמה, כשהביטחון יחזור לאזרחי ישראל, ממשלת החירום שהוקמה תצטרך להתפרק. מהכישלון הזה נתניהו וחברי ממשלתו לא יוכלו לברוח. מגיעה לנו ממשלה שמתייחסת ברצינות למדינה הזאת, לאזרחיה, כדי שתהיה לנו תקומה.",,,,"lower_bound: 45000, upper_bound: 49999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00424},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0062},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.003492},{""age"":""35-44"",""gender"":""male"",""percentage"":0.063353},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006948},{""age"":""35-44"",""gender"":""female"",""percentage"":0.056547},{""age"":""55-64"",""gender"":""male"",""percentage"":0.098699},{""age"":""55-64"",""gender"":""female"",""percentage"":0.149403},{""age"":""45-54"",""gender"":""female"",""percentage"":0.113878},{""age"":""65+"",""gender"":""male"",""percentage"":0.134794},{""age"":""45-54"",""gender"":""male"",""percentage"":0.089221},{""age"":""65+"",""gender"":""female"",""percentage"":0.273223}","{""region"":""Central District"",""percentage"":0.336094},{""region"":""Northern District"",""percentage"":0.021561},{""region"":""Heifa"",""percentage"":0.160997},{""region"":""Tel Aviv"",""percentage"":0.478064},{""region"":""West Bank"",""percentage"":0.003284}",facebook,"lower_bound: 100001, upper_bound: 500000",he
290803053684204,103907495935157,"צו חירום",2023-09-15,2023-09-15,2023-09-18,"צו חירום","שנה טובה מ׳צו חירום׳, יוזמה של מכון זולת לשוויון ולזכויות אדם 🍎🍯

לתמיכה >> https://tzavherum.co.il/donate/

כדי שזו תהייה שנה של דמוקרטיה, מאבק ותקווה - אנחנו זקוקים לתמיכתכן ותמיכתכם 💪

המחנה הדמוקרטי מתעורר ומכון זולת נמצא שם כדי להשפיע על מקבלי ההחלטות ועל השיח הציבורי, על מנת להחזיר את השוויון וזכויות האדם לקדמת הבמה.

הדרך עוד ארוכה אבל כבר עכשיו הגענו יחד להישגים מדהימים. הצטרפו אלינו כדי שנוכל להמשיך בכל הכוח >> https://tzavherum.co.il/donate/",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002855},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001427},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005191},{""age"":""45-54"",""gender"":""female"",""percentage"":0.068129},{""age"":""55-64"",""gender"":""female"",""percentage"":0.128861},{""age"":""45-54"",""gender"":""male"",""percentage"":0.064625},{""age"":""55-64"",""gender"":""male"",""percentage"":0.106281},{""age"":""65+"",""gender"":""female"",""percentage"":0.351285},{""age"":""65+"",""gender"":""male"",""percentage"":0.206852},{""age"":""35-44"",""gender"":""female"",""percentage"":0.02258},{""age"":""35-44"",""gender"":""male"",""percentage"":0.032572},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.009343}","{""region"":""Southern District"",""percentage"":0.105124},{""region"":""Central District"",""percentage"":0.331127},{""region"":""Northern District"",""percentage"":0.149874},{""region"":""Heifa"",""percentage"":0.131471},{""region"":""Tel Aviv"",""percentage"":0.210115},{""region"":""Jerusalem"",""percentage"":0.072289}",facebook,"lower_bound: 100001, upper_bound: 500000",he
3317668065200609,103907495935157,"צו חירום",2023-09-15,2023-09-15,2023-09-18,"צו חירום","שנה טובה מ׳צו חירום׳, יוזמה של מכון זולת לשוויון ולזכויות אדם 🍎🍯

לתמיכה >> https://tzavherum.co.il/donate/

כדי שזו תהייה שנה של דמוקרטיה, מאבק ותקווה - אנחנו זקוקים לתמיכתכן ותמיכתכם 💪

המחנה הדמוקרטי מתעורר ומכון זולת נמצא שם כדי להשפיע על מקבלי ההחלטות ועל השיח הציבורי, על מנת להחזיר את השוויון וזכויות האדם לקדמת הבמה.

הדרך עוד ארוכה אבל כבר עכשיו הגענו יחד להישגים מדהימים. הצטרפו אלינו כדי שנוכל להמשיך בכל הכוח >> https://tzavherum.co.il/donate/",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 500, upper_bound: 599",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003574},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001324},{""age"":""55-64"",""gender"":""female"",""percentage"":0.133422},{""age"":""35-44"",""gender"":""female"",""percentage"":0.025017},{""age"":""45-54"",""gender"":""male"",""percentage"":0.060225},{""age"":""55-64"",""gender"":""male"",""percentage"":0.097551},{""age"":""35-44"",""gender"":""male"",""percentage"":0.035738},{""age"":""65+"",""gender"":""female"",""percentage"":0.369954},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061416},{""age"":""65+"",""gender"":""male"",""percentage"":0.200132},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008339},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003309}","{""region"":""Central District"",""percentage"":0.327294},{""region"":""Northern District"",""percentage"":0.019955},{""region"":""Heifa"",""percentage"":0.174347},{""region"":""Tel Aviv"",""percentage"":0.474596},{""region"":""West Bank"",""percentage"":0.003807}",facebook,"lower_bound: 100001, upper_bound: 500000",
1475317689953459,103907495935157,"צו חירום",2023-08-14,2023-08-14,2023-08-16,"צו חירום","מעמד הנשים בישראל תחת מתקפה.

אנחנו רואות, יום אחר יום עוד מתקפה ועוד הטרדה במרחב הציבורי. עוד נהג אוטובוס ששולח נשים ונערות לירכתי האוטובוס ועוד אירוע בהפרדה מגדרית בשטח ציבורי. 

זו רק ההתחלה עבור הממשלה הזאת.

צפו ב@[100046827921972:2048:Michal Rozin מיכל רוזין ميخال روزين] ו@[100057921134678:2048:אמילי - חיה מואטי Emilie Moatti]:","מעמד הנשים בישראל תחת מתקפה.",,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.005787},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.009237},{""age"":""35-44"",""gender"":""female"",""percentage"":0.124082},{""age"":""65+"",""gender"":""female"",""percentage"":0.191965},{""age"":""55-64"",""gender"":""female"",""percentage"":0.110171},{""age"":""45-54"",""gender"":""female"",""percentage"":0.109838},{""age"":""55-64"",""gender"":""male"",""percentage"":0.103717},{""age"":""35-44"",""gender"":""male"",""percentage"":0.116181},{""age"":""45-54"",""gender"":""male"",""percentage"":0.090808},{""age"":""65+"",""gender"":""male"",""percentage"":0.122413},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00779},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008012}","{""region"":""Central District"",""percentage"":0.327318},{""region"":""Northern District"",""percentage"":0.027239},{""region"":""Heifa"",""percentage"":0.169488},{""region"":""Tel Aviv"",""percentage"":0.469342},{""region"":""West Bank"",""percentage"":0.006614}",facebook,"lower_bound: 100001, upper_bound: 500000",he
3497594783834168,103907495935157,"צו חירום",2023-08-14,2023-08-14,2023-08-16,"צו חירום","מעמד הנשים בישראל תחת מתקפה.

אנחנו רואות, יום אחר יום עוד מתקפה ועוד הטרדה במרחב הציבורי. עוד נהג אוטובוס ששולח נשים ונערות לירכתי האוטובוס ועוד אירוע בהפרדה מגדרית בשטח ציבורי. 

זו רק ההתחלה עבור הממשלה הזאת.

צפו ב@[100046827921972:2048:Michal Rozin מיכל רוזין ميخال روزين] ו@[100057921134678:2048:אמילי - חיה מואטי Emilie Moatti]:","מעמד הנשים בישראל תחת מתקפה.",,,"lower_bound: 9000, upper_bound: 9999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.006795},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.006154},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.005897},{""age"":""65+"",""gender"":""female"",""percentage"":0.258846},{""age"":""55-64"",""gender"":""male"",""percentage"":0.096667},{""age"":""55-64"",""gender"":""female"",""percentage"":0.129615},{""age"":""35-44"",""gender"":""male"",""percentage"":0.055769},{""age"":""65+"",""gender"":""male"",""percentage"":0.148974},{""age"":""45-54"",""gender"":""female"",""percentage"":0.12141},{""age"":""45-54"",""gender"":""male"",""percentage"":0.078974},{""age"":""35-44"",""gender"":""female"",""percentage"":0.082051},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.008846}","{""region"":""Southern District"",""percentage"":0.087717},{""region"":""Central District"",""percentage"":0.298135},{""region"":""Northern District"",""percentage"":0.156913},{""region"":""Heifa"",""percentage"":0.13865},{""region"":""Tel Aviv"",""percentage"":0.256334},{""region"":""Jerusalem"",""percentage"":0.062251}",facebook,"lower_bound: 100001, upper_bound: 500000",he
669939871723238,103907495935157,"צו חירום",2023-08-14,2023-08-14,2023-08-19,"צו חירום","למי יצייתו שומרי הסף במקרה של משבר חוקתי?
וובינר חירום: ישראל על הקצה!

הרשמה >> https://bit.ly/440lmBf
נתניהו מוביל אותנו למהפכה משטרית על מלא, שהמטרה שלה למנות שופטים ""מטעם"" שיחלצו אותו מהכלא. במקביל הוא ושריו לא מתחייבים לציית לפסיקות בג""צ, מה שעלול להוביל אותנו לעידן חדש שלא הכרנו.

נשאלת השאלה: מה יעשו שומרי הסף במצב כזה?
דיון מיוחד בנושא נקיים ב-20 לאוגוסט, בוובינר חירום ""ישראל על הקצה - האם ישראל בדרך למשבר חוקתי?"" 

דברי פתיחה: זהבה גלאון, נשיאת זולת

פאנל בהשתתפות:
כרמי גילון, ראש השב""כ לשעבר
עו""ד דפנה הולץ לכנר, מומחית למשפט חוקתי ומגישת העתירות נגד נתניהו ודרעי
עו""ד אבי ניסנקורן, שר המשפטים ויו""ר ההסתדרות לשעבר
דוד צור, ניצב בדימוס, מפקד מחוז ת""א וח""כ לשעבר

בהנחיית: נטע אחיטוב, עיתונאית “הארץ”

מתי ❓ ראשון, 20.8, 21:00
איפה ❓ ZOOM
הרשמו עכשיו, המקומות מוגבלים ‼️",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000671},{""age"":""35-44"",""gender"":""female"",""percentage"":0.014094},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.006376},{""age"":""45-54"",""gender"":""male"",""percentage"":0.087584},{""age"":""45-54"",""gender"":""female"",""percentage"":0.045302},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006711},{""age"":""35-44"",""gender"":""male"",""percentage"":0.042953},{""age"":""55-64"",""gender"":""male"",""percentage"":0.146309},{""age"":""55-64"",""gender"":""female"",""percentage"":0.105034},{""age"":""65+"",""gender"":""female"",""percentage"":0.289597},{""age"":""65+"",""gender"":""male"",""percentage"":0.25302},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002349}","{""region"":""Southern District"",""percentage"":0.117332},{""region"":""Central District"",""percentage"":0.300034},{""region"":""Northern District"",""percentage"":0.141804},{""region"":""Heifa"",""percentage"":0.123366},{""region"":""Tel Aviv"",""percentage"":0.229635},{""region"":""Jerusalem"",""percentage"":0.087831}",facebook,"lower_bound: 100001, upper_bound: 500000",he
814265090354493,103907495935157,"צו חירום",2023-08-14,2023-08-14,2023-08-19,"צו חירום","למי יצייתו שומרי הסף במקרה של משבר חוקתי?
וובינר חירום: ישראל על הקצה!

הרשמה >> https://bit.ly/440lmBf
נתניהו מוביל אותנו למהפכה משטרית על מלא, שהמטרה שלה למנות שופטים ""מטעם"" שיחלצו אותו מהכלא. במקביל הוא ושריו לא מתחייבים לציית לפסיקות בג""צ, מה שעלול להוביל אותנו לעידן חדש שלא הכרנו.

נשאלת השאלה: מה יעשו שומרי הסף במצב כזה?
דיון מיוחד בנושא נקיים ב-20 לאוגוסט, בוובינר חירום ""ישראל על הקצה - האם ישראל בדרך למשבר חוקתי?"" 

דברי פתיחה: זהבה גלאון, נשיאת זולת

פאנל בהשתתפות:
כרמי גילון, ראש השב""כ לשעבר
עו""ד דפנה הולץ לכנר, מומחית למשפט חוקתי ומגישת העתירות נגד נתניהו ודרעי
עו""ד אבי ניסנקורן, שר המשפטים ויו""ר ההסתדרות לשעבר
דוד צור, ניצב בדימוס, מפקד מחוז ת""א וח""כ לשעבר

בהנחיית: נטע אחיטוב, עיתונאית “הארץ”

מתי ❓ ראשון, 20.8, 21:00
איפה ❓ ZOOM
הרשמו עכשיו, המקומות מוגבלים ‼️",,,,"lower_bound: 4000, upper_bound: 4999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001332},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003995},{""age"":""55-64"",""gender"":""female"",""percentage"":0.103862},{""age"":""55-64"",""gender"":""male"",""percentage"":0.149134},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.007656},{""age"":""65+"",""gender"":""female"",""percentage"":0.263648},{""age"":""65+"",""gender"":""male"",""percentage"":0.250666},{""age"":""45-54"",""gender"":""male"",""percentage"":0.085553},{""age"":""35-44"",""gender"":""male"",""percentage"":0.058589},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051598},{""age"":""35-44"",""gender"":""female"",""percentage"":0.020639},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.003329}","{""region"":""Central District"",""percentage"":0.326216},{""region"":""Northern District"",""percentage"":0.019382},{""region"":""Heifa"",""percentage"":0.165572},{""region"":""Tel Aviv"",""percentage"":0.485545},{""region"":""West Bank"",""percentage"":0.003285}",facebook,"lower_bound: 100001, upper_bound: 500000",
