ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
605378509239543,1915868198652314,"האם ראית את האופק לאחרונה?",2025-10-01,2025-10-01,2025-10-02,"האם ראית את האופק לאחרונה?","בשבוע שעבר, חזרנו ממשלחת לוורשה שארגנו לקבוצת חברי וחברות כנסת יהודים וערבים ממפלגות האופוזיציה, במטרה ללמוד מהמשבר הפוליטי ומהמאבק על הדמוקרטיה בפולין. 

אנחנו כבר יודעים: בכל מה שנוגע להפיכה המשטרית אנחנו רק חלק מתהליך עולמי של ממשלות ימין פופוליסטי שמפרקות מבפנים את המדינה ואת מוסדותיה הדמוקרטים. 

בפולין זה התחיל הרבה לפנינו - כבר ב-2017 התחילה שם הפיכה משטרית שריסקה את המוסדות הדמוקרטים במדינה. שנים של מאבק ומחאות ענק הסתיימו לפני שנתיים בנצחון בבחירות ונסיונות של הממשלה הדמוקרטית-ליברלית להתמודד עם האדמה החרוכה שהשאירה הממשלה הקודמת.

נסענו ללמוד מהם על ההצלחות, הכישלונות והאתגרים בדרך חזרה לשלטון ולתיקון ההרס.

🇵🇱 השיעור הכי חשוב שלמדנו מהפולנים על הדרך לניצחון בבחירות: לעבוד ביחד.

הם היו 11 מפלגות שונות באופוזיציה, והם החליטו לעבוד ביחד כדי להחליף את הממשלה ולבלום את הימין הפופוליסטי.

הם ארגנו את עצמם מחדש ורצו כ3 רשימות בלבד - שמאל, מרכז וימין - שהכריזו מראש על הקמת קואליציה עתידית.

כל אחת מהרשימות במחנה - לגיטימית. הן לא תוקפות אחת את השניה, לא משתפות פעולה עם דה-לגיטימציה של אף קבוצה מהאוכלוסיה, לא מנסות לשתות קולות אחת מהשניה.

כל מי שבממשלת הימין הפופוליסטי - לא לגיטימית. אין בכלל דיון סביב חבירה לממשלה בשום צורה שהיא.

המחאה האזרחית - שותפה לעבודה ולא קרדום לחפור בו.

את כל הדברים האלה המחנה הליברלי בישראל יכול וצריך לעשות, מבלי להדיר ממנו אף כוח או מפלגה שיכולים לקרב אותנו אל הניצחון - זה אומר גם (ובעיקר) שיתוף פעולה עם המפלגות הערביות.

תודה לכל המנהיגות והמנהיגים מפולין על שיחות כנות ומאירות עיניים, לשותפים שסייעו בארגון, ובעיקר לחברות וחברי הכנסת שבאו חדורי תחושת שליחות ומטרה.

@[100057855588883:2048:אלון שוסטר - Alon Schuster]
@[100057906858604:2048:ולדימיר בליאק - Vladimir Beliak]
@[100046827921972:2048:Michal Rozin מיכל רוזין ميخال روزين]",,,,"lower_bound: 6000, upper_bound: 6999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""l3vr7lgalsynsidneg1c"",""percentage"":0.003312},{""age"":""45-54"",""gender"":""male"",""percentage"":0.081509},{""age"":""65+"",""gender"":""male"",""percentage"":0.26127},{""age"":""65+"",""gender"":""female"",""percentage"":0.239006},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002208},{""age"":""55-64"",""gender"":""male"",""percentage"":0.149218},{""age"":""55-64"",""gender"":""female"",""percentage"":0.048758},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003864},{""age"":""45-54"",""gender"":""female"",""percentage"":0.024103},{""age"":""18-24"",""gender"":""male"",""percentage"":0.008096},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001472},{""age"":""35-44"",""gender"":""male"",""percentage"":0.064029},{""age"":""35-44"",""gender"":""female"",""percentage"":0.016927},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000368},{""age"":""25-34"",""gender"":""male"",""percentage"":0.071205},{""age"":""25-34"",""gender"":""female"",""percentage"":0.018583},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000368},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.005704}","{""region"":""Central District"",""__umapi_query_id"":""rz6lg4q50ob05wkwpqku"",""percentage"":0.207955},{""region"":""Heifa"",""percentage"":0.149473},{""region"":""Jerusalem"",""percentage"":0.087359},{""region"":""Northern District"",""percentage"":0.233927},{""region"":""Southern District"",""percentage"":0.072103},{""region"":""Tel Aviv"",""percentage"":0.249183}",facebook,"lower_bound: 50001, upper_bound: 100000",he
1266337735240596,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-30,2025-09-30,2025-09-30,"האם ראית את האופק לאחרונה?","הסרטון שלנו משודר בחדשות 12, לב לבו של המיינסטרים.
אי אפשר יותר לעצום עיניים.",,,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",ILS,,,facebook,"lower_bound: 50001, upper_bound: 100000",he
1178668357501451,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-29,2025-09-29,2025-10-01,"האם ראית את האופק לאחרונה?",,"‎האם ראית את האופק לאחרונה?‎ (@horizon_lately) • Instagram photos and videos,‎האם ראית את האופק לאחרונה?‎ (@horizon_lately) • Instagram photos and videos,‎האם ראית את האופק לאחרונה?‎ (@horizon_lately) • Instagram photos and videos,‎האם ראית את האופק לאחרונה?‎ (@horizon_lately) • Instagram photos and videos,‎האם ראית את האופק לאחרונה?‎ (@horizon_lately) • Instagram photos and videos,‎האם ראית את האופק לאחרונה?‎ (@horizon_lately) • Instagram photos and videos","instagram.com,instagram.com,instagram.com,instagram.com,instagram.com,instagram.com",,"lower_bound: 50000, upper_bound: 59999","lower_bound: 400, upper_bound: 499",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""lxs866z690tkwlc93yh2"",""percentage"":0.090676},{""age"":""45-54"",""gender"":""male"",""percentage"":0.055645},{""age"":""65+"",""gender"":""male"",""percentage"":0.024302},{""age"":""65+"",""gender"":""female"",""percentage"":0.044688},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000579},{""age"":""55-64"",""gender"":""male"",""percentage"":0.03993},{""age"":""55-64"",""gender"":""female"",""percentage"":0.048832},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001071},{""age"":""45-54"",""gender"":""female"",""percentage"":0.065619},{""age"":""18-24"",""gender"":""male"",""percentage"":0.099491},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001457},{""age"":""35-44"",""gender"":""male"",""percentage"":0.092555},{""age"":""35-44"",""gender"":""female"",""percentage"":0.096664},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001264},{""age"":""25-34"",""gender"":""male"",""percentage"":0.198859},{""age"":""25-34"",""gender"":""female"",""percentage"":0.136699},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001247},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000421}","{""region"":""Central District"",""__umapi_query_id"":""z141ia6puj8jmm2j9puo"",""percentage"":0.135595},{""region"":""Daraa Governorate"",""percentage"":1.7e-5},{""region"":""Heifa"",""percentage"":0.150814},{""region"":""Jerusalem"",""percentage"":0.145654},{""region"":""Northern District"",""percentage"":0.337141},{""region"":""Quneitra Governorate"",""percentage"":0.001032},{""region"":""Southern District"",""percentage"":0.082536},{""region"":""Tel Aviv"",""percentage"":0.147193},{""region"":""Unknown"",""percentage"":1.7e-5}",instagram,"lower_bound: 100001, upper_bound: 500000",he
2005554790379932,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-29,2025-09-29,2025-10-01,"האם ראית את האופק לאחרונה?","בשבוע שעבר, חזרנו ממשלחת לוורשה שארגנו לקבוצת חברי וחברות כנסת יהודים וערבים ממפלגות האופוזיציה, במטרה ללמוד מהמשבר הפוליטי ומהמאבק על הדמוקרטיה בפולין. 

אנחנו כבר יודעים: בכל מה שנוגע להפיכה המשטרית אנחנו רק חלק מתהליך עולמי של ממשלות ימין פופוליסטי שמפרקות מבפנים את המדינה ואת מוסדותיה הדמוקרטים. 

בפולין זה התחיל הרבה לפנינו - כבר ב-2017 התחילה שם הפיכה משטרית שריסקה את המוסדות הדמוקרטים במדינה. שנים של מאבק ומחאות ענק הסתיימו לפני שנתיים בנצחון בבחירות ונסיונות של הממשלה הדמוקרטית-ליברלית להתמודד עם האדמה החרוכה שהשאירה הממשלה הקודמת.

נסענו ללמוד מהם על ההצלחות, הכישלונות והאתגרים בדרך חזרה לשלטון ולתיקון ההרס.

🇵🇱 השיעור הכי חשוב שלמדנו מהפולנים על הדרך לניצחון בבחירות: לעבוד ביחד.

הם היו 11 מפלגות שונות באופוזיציה, והם החליטו לעבוד ביחד כדי להחליף את הממשלה ולבלום את הימין הפופוליסטי.

הם ארגנו את עצמם מחדש ורצו כ3 רשימות בלבד - שמאל, מרכז וימין - שהכריזו מראש על הקמת קואליציה עתידית.

כל אחת מהרשימות במחנה - לגיטימית. הן לא תוקפות אחת את השניה, לא משתפות פעולה עם דה-לגיטימציה של אף קבוצה מהאוכלוסיה, לא מנסות לשתות קולות אחת מהשניה.

כל מי שבממשלת הימין הפופוליסטי - לא לגיטימית. אין בכלל דיון סביב חבירה לממשלה בשום צורה שהיא.

המחאה האזרחית - שותפה לעבודה ולא קרדום לחפור בו.

את כל הדברים האלה המחנה הליברלי בישראל יכול וצריך לעשות, מבלי להדיר ממנו אף כוח או מפלגה שיכולים לקרב אותנו אל הניצחון - זה אומר גם (ובעיקר) שיתוף פעולה עם המפלגות הערביות.

תודה לכל המנהיגות והמנהיגים מפולין על שיחות כנות ומאירות עיניים, לשותפים שסייעו בארגון, ובעיקר לחברות וחברי הכנסת שבאו חדורי תחושת שליחות ומטרה.

@[100057855588883:2048:אלון שוסטר - Alon Schuster]
@[100057906858604:2048:ולדימיר בליאק - Vladimir Beliak]
@[100046827921972:2048:Michal Rozin מיכל רוזין ميخال روزين]",,,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 300, upper_bound: 399",ILS,"{""age"":""18-24"",""gender"":""female"",""__umapi_query_id"":""qugkc85a7rqmc8qikx03"",""percentage"":0.002977},{""age"":""45-54"",""gender"":""male"",""percentage"":0.068901},{""age"":""65+"",""gender"":""male"",""percentage"":0.218388},{""age"":""65+"",""gender"":""female"",""percentage"":0.27384},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002315},{""age"":""55-64"",""gender"":""male"",""percentage"":0.129093},{""age"":""55-64"",""gender"":""female"",""percentage"":0.092603},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003638},{""age"":""45-54"",""gender"":""female"",""percentage"":0.038254},{""age"":""18-24"",""gender"":""male"",""percentage"":0.006725},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001984},{""age"":""35-44"",""gender"":""male"",""percentage"":0.051042},{""age"":""35-44"",""gender"":""female"",""percentage"":0.026678},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000772},{""age"":""25-34"",""gender"":""male"",""percentage"":0.055341},{""age"":""25-34"",""gender"":""female"",""percentage"":0.020836},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00022},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.006394}","{""region"":""Central District"",""__umapi_query_id"":""6xdantchsyfei85lopdh"",""percentage"":0.213007},{""region"":""Heifa"",""percentage"":0.142746},{""region"":""Jerusalem"",""percentage"":0.109505},{""region"":""Northern District"",""percentage"":0.178544},{""region"":""Southern District"",""percentage"":0.076153},{""region"":""Tel Aviv"",""percentage"":0.279933},{""region"":""Unknown"",""percentage"":0.000111}",facebook,"lower_bound: 50001, upper_bound: 100000",he
2612973299065381,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-16,2025-09-16,2025-09-19,"האם ראית את האופק לאחרונה?","הגיע זמן בחירות.",,,,"lower_bound: 2000, upper_bound: 2999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.029965},{""age"":""45-54"",""gender"":""male"",""percentage"":0.06698},{""age"":""65+"",""gender"":""male"",""percentage"":0.101058},{""age"":""65+"",""gender"":""female"",""percentage"":0.154524},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001175},{""age"":""55-64"",""gender"":""male"",""percentage"":0.092244},{""age"":""55-64"",""gender"":""female"",""percentage"":0.103408},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003525},{""age"":""45-54"",""gender"":""female"",""percentage"":0.071093},{""age"":""18-24"",""gender"":""male"",""percentage"":0.071093},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0047},{""age"":""35-44"",""gender"":""male"",""percentage"":0.074618},{""age"":""35-44"",""gender"":""female"",""percentage"":0.052879},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002938},{""age"":""25-34"",""gender"":""male"",""percentage"":0.10517},{""age"":""25-34"",""gender"":""female"",""percentage"":0.055229},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.006463},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.002938}","{""region"":""Central District"",""percentage"":0.219186},{""region"":""Heifa"",""percentage"":0.109884},{""region"":""Jerusalem"",""percentage"":0.112209},{""region"":""Northern District"",""percentage"":0.082558},{""region"":""Southern District"",""percentage"":0.06686},{""region"":""Tel Aviv"",""percentage"":0.409302}",instagram,"lower_bound: 50001, upper_bound: 100000",he
1387891109459840,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-16,2025-09-16,2025-09-19,"האם ראית את האופק לאחרונה?","הגיע זמן בחירות.",,,,"lower_bound: 5000, upper_bound: 5999","lower_bound: 100, upper_bound: 199",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.001285},{""age"":""45-54"",""gender"":""male"",""percentage"":0.064247},{""age"":""65+"",""gender"":""male"",""percentage"":0.243174},{""age"":""65+"",""gender"":""female"",""percentage"":0.380341},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002891},{""age"":""55-64"",""gender"":""male"",""percentage"":0.104722},{""age"":""55-64"",""gender"":""female"",""percentage"":0.08866},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003212},{""age"":""45-54"",""gender"":""female"",""percentage"":0.04176},{""age"":""18-24"",""gender"":""male"",""percentage"":0.001606},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001285},{""age"":""35-44"",""gender"":""male"",""percentage"":0.024735},{""age"":""35-44"",""gender"":""female"",""percentage"":0.010922},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000321},{""age"":""25-34"",""gender"":""male"",""percentage"":0.013171},{""age"":""25-34"",""gender"":""female"",""percentage"":0.008031},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000321},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.009316}","{""region"":""Central District"",""percentage"":0.311133},{""region"":""Heifa"",""percentage"":0.146718},{""region"":""Jerusalem"",""percentage"":0.052445},{""region"":""Northern District"",""percentage"":0.11583},{""region"":""Southern District"",""percentage"":0.093951},{""region"":""Tel Aviv"",""percentage"":0.279923}",facebook,"lower_bound: 50001, upper_bound: 100000",he
25600392799560999,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-11,2025-09-11,2025-09-15,"האם ראית את האופק לאחרונה?","يائير جولان يزور شفاعمرو","للمقال الكامل","wazcam.net,wazcam.net,wazcam.net,wazcam.net,wazcam.net,wazcam.net,wazcam.net","يائير جولان يزور شفاعمرو","lower_bound: 125000, upper_bound: 149999","lower_bound: 800, upper_bound: 899",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.025656},{""age"":""45-54"",""gender"":""male"",""percentage"":0.133051},{""age"":""65+"",""gender"":""male"",""percentage"":0.039312},{""age"":""65+"",""gender"":""female"",""percentage"":0.028231},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000815},{""age"":""55-64"",""gender"":""male"",""percentage"":0.083304},{""age"":""55-64"",""gender"":""female"",""percentage"":0.049933},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001437},{""age"":""45-54"",""gender"":""female"",""percentage"":0.063128},{""age"":""18-24"",""gender"":""male"",""percentage"":0.047124},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002236},{""age"":""35-44"",""gender"":""male"",""percentage"":0.157812},{""age"":""35-44"",""gender"":""female"",""percentage"":0.090503},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001679},{""age"":""25-34"",""gender"":""male"",""percentage"":0.189868},{""age"":""25-34"",""gender"":""female"",""percentage"":0.084951},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000589},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000371}","{""region"":""Central District"",""percentage"":0.010916},{""region"":""Heifa"",""percentage"":0.309958},{""region"":""Northern District"",""percentage"":0.669202},{""region"":""West Bank"",""percentage"":0.009924}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",ar
784308237343176,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-05,2025-09-05,2025-09-07,"האם ראית את האופק לאחרונה?","ב-1.9, @[100050246179796:2048:Yair Golan - יאיר גולן] והדמוקרטים הגיעו לברך את התלמידות והתלמידים בבית הספר היסודי א' אלעין בשפרעם.

זאת הפעם הראשונה שמנהיג מפלגה יהודית מגיע לחגוג את פתיחת שנת הלימודים בעיר ערבית, וזה היה יום מרגש במיוחד, לשני הצדדים.

תודה רבה למנהלת בית הספר זינה עליאן על הארגון והאירוח, לילדות והילדים שקיבלו את המבקרים בחמידות וסקרנות, ותודה לגולן, לח""כ @[100063975616596:2048:אפרת רייטן - Efrat Rayten] ולמפלגת @[100044337463940:2048:הדמוקרטים] על התקווה והמנהיגות. זאת היתה זכות לקחת חלק ברגע הזה.",,,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 200, upper_bound: 299",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.002454},{""age"":""45-54"",""gender"":""male"",""percentage"":0.135139},{""age"":""65+"",""gender"":""male"",""percentage"":0.248869},{""age"":""65+"",""gender"":""female"",""percentage"":0.174156},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.002165},{""age"":""55-64"",""gender"":""male"",""percentage"":0.216155},{""age"":""55-64"",""gender"":""female"",""percentage"":0.050226},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.001876},{""age"":""45-54"",""gender"":""female"",""percentage"":0.021794},{""age"":""18-24"",""gender"":""male"",""percentage"":0.010873},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000674},{""age"":""35-44"",""gender"":""male"",""percentage"":0.068315},{""age"":""35-44"",""gender"":""female"",""percentage"":0.009766},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000144},{""age"":""25-34"",""gender"":""male"",""percentage"":0.04556},{""age"":""25-34"",""gender"":""female"",""percentage"":0.008515},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000289},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.003031}","{""region"":""Central District"",""percentage"":0.208525},{""region"":""Heifa"",""percentage"":0.155085},{""region"":""Jerusalem"",""percentage"":0.089703},{""region"":""Northern District"",""percentage"":0.309142},{""region"":""Southern District"",""percentage"":0.095625},{""region"":""Tel Aviv"",""percentage"":0.14192}",facebook,"lower_bound: 10001, upper_bound: 50000",he
1427345935225390,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-03,2025-09-03,2025-09-09,"האם ראית את האופק לאחרונה?","يائير جولان يزور شفاعمرو","للمقال الكامل","wazcam.net,wazcam.net,wazcam.net,wazcam.net,wazcam.net,wazcam.net,wazcam.net","يائير جولان يزور شفاعمرو","lower_bound: 450000, upper_bound: 499999","lower_bound: 2000, upper_bound: 2499",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.158578},{""age"":""45-54"",""gender"":""male"",""percentage"":0.057942},{""age"":""65+"",""gender"":""male"",""percentage"":0.013848},{""age"":""65+"",""gender"":""female"",""percentage"":0.010857},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000296},{""age"":""55-64"",""gender"":""male"",""percentage"":0.030481},{""age"":""55-64"",""gender"":""female"",""percentage"":0.021921},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000658},{""age"":""45-54"",""gender"":""female"",""percentage"":0.038259},{""age"":""18-24"",""gender"":""male"",""percentage"":0.133595},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001325},{""age"":""35-44"",""gender"":""male"",""percentage"":0.094553},{""age"":""35-44"",""gender"":""female"",""percentage"":0.064469},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.002365},{""age"":""25-34"",""gender"":""male"",""percentage"":0.205871},{""age"":""25-34"",""gender"":""female"",""percentage"":0.162593},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002233},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000156}","{""region"":""Central District"",""percentage"":0.010534},{""region"":""Heifa"",""percentage"":0.341332},{""region"":""Northern District"",""percentage"":0.639471},{""region"":""West Bank"",""percentage"":0.008663}","facebook,instagram","lower_bound: 500001, upper_bound: 1000000",ar
748018174704726,1915868198652314,"האם ראית את האופק לאחרונה?",2025-09-02,2025-09-02,2025-09-03,"האם ראית את האופק לאחרונה?","הבוקר, עם פתיחת שנת הלימודים, היתה לנו את הזכות לקחת חלק בביקור יוצא דופן. אחרי שפתח את היום בבית ספר יסודי בחיפה, הגיע יו""ר מפלגת @[100044337463940:2048:הדמוקרטים] @[100050246179796:2048:Yair Golan - יאיר גולן], יחד עם יו""ר הסיעה ח""כ @[100063975616596:2048:אפרת רייטן - Efrat Rayten] לביקור בבית הספר היסודי א' אלעין בשפרעם. 

אחרי ששוחחו ושיחקו עם הילדות והילדים, נפגשו גולן ורייטן עם ראש העיר שפרעם נאהד ח'אזם, משנה לראש העיר פרג' חניפס ובכירים נוספים.

כל תחילת שנה היא מרגשת, אבל הבוקר הזה בשפרעם היה מרגש במיוחד. הילדות והילדים סיפרו לגולן על החלומות שלהם (להיות אנשי עסקים!), שאלו אותו על החלום שלו (להביא שלום), והראו לו את העבודות שהם עושים על שותפות ותקווה.

""לחינוך יש כוח לשנות חיים, העתיד של הילדים האלה הוא העתיד של כולנו – ואנחנו נבנה אותו ביחד"", אמר גולן. ״הממשלה הבאה תחזיר את ההשקעות לחינוך הערבי, לא כטובה, אלא כחלק מתכנית לאומית של שיקום. תלמידה ערביה שווה לתלמידה היהודיה - לא רק במילים, אלא גם בתקציבים. באפשרויות. הם לא יהיו שווים אם הילד הערבי לא ילמד מתמטיקה באותה רמה"".

יו""ר סיעת הדמוקרטים ח""כ אפרת רייטן הוסיפה: ״התרגשתי לפגוש את צוות הוראה, הנהלה וילדים חכמים ונבונים שעבורם הדמיון לא יודע גבולות. אפעל ככל יכולתי למען שוויון וחירות בהתאם לרוח הצהרת העצמאות וחוק-יסוד: כבוד האדם וחירותו - כדי שכל ילד וילדה יוכלו להגשים את עצמם ואת חלומותיהם. בימים שבהם הממשלה מנסה להפלות בין אזרחים ולדכא את זכויותינו אנו נמדדים ביכולות שלנו לעשות ולהגשים״.

תודה למנהלת בית הספר זינה עליאן ולכל הצוות החינוכי על הכנסת האורחים, ועל העבודה החשובה שהם עושים.

(צילום: בן כהן Ben Cohen)",,,,"lower_bound: 5000, upper_bound: 5999","lower_bound: 0, upper_bound: 99",ILS,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.004575},{""age"":""45-54"",""gender"":""male"",""percentage"":0.134492},{""age"":""65+"",""gender"":""male"",""percentage"":0.129689},{""age"":""65+"",""gender"":""female"",""percentage"":0.145242},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.001144},{""age"":""55-64"",""gender"":""male"",""percentage"":0.129689},{""age"":""55-64"",""gender"":""female"",""percentage"":0.064959},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.002745},{""age"":""45-54"",""gender"":""female"",""percentage"":0.060156},{""age"":""18-24"",""gender"":""male"",""percentage"":0.014867},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002745},{""age"":""35-44"",""gender"":""male"",""percentage"":0.117795},{""age"":""35-44"",""gender"":""female"",""percentage"":0.058554},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001601},{""age"":""25-34"",""gender"":""male"",""percentage"":0.096523},{""age"":""25-34"",""gender"":""female"",""percentage"":0.033166},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000229},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.00183}","{""region"":""Central District"",""percentage"":0.092105},{""region"":""Heifa"",""percentage"":0.095735},{""region"":""Northern District"",""percentage"":0.444646},{""region"":""Tel Aviv"",""percentage"":0.367514}",facebook,"lower_bound: 500001, upper_bound: 1000000",he
